College Name,Subject,Topics Covered
BMS College of Engineering,Advanced Computer Networks,"Supervised Learning, Linear Regression, Multiple Linear Regression, Logistic Regression, K Nearest Neighbours, Decision Trees, Classification and Regression Trees, Support Vector Machines, Linear and Non, Linear, Kernel Functions, Design And Analysis Of Machine Learning Experiments, Guidelines for machine learning experiments, Cross Validation CV and resampling, Kfold CV, bootstrapping, measuring classifier performance, assessing a single classification algorithm, and comparing two classification algorithms, t test, McNemar s test, fold CV paired t test, Ensemble Techniques And Unsupervised Learning, Combining multiple learners, Model combination schemes, Voting, Ensemble Learning, bagging, boosting, stacking, Unsupervised learning, means clustering, Dimensionality reduction, Principal Component Analysis, Reinforcement Learning, Learning Task, Q Learning, Nondeterministic Rewards and actions, temporal, difference learning, Relationship to Dynamic Programming, Active reinforcement learning, Generalization in reinforcement learning, Internet Multicasting, Routing Algorithms, Differentiated and Integrated Services, Next generation Internet architectures"
BMS College of Engineering,Blockchain Technology,"High Performance Switching, performance considerations, IP address lookup Algorithms for IP address lookup and optimization, hardware implementation of address lookup, Analysis of Network congestion Mechanism, ARQ protocols Multimedia Networking, Implementation of multi, threaded Web Server Web Proxy with Caching Filtering features, Sliding Window protocol implementation, performance study of various TCP IP variants, Packet Classification, Deep Dive Northbound and Southbound interface, Working with Mininet Network Function Virtualization NFV, Architecture and Concepts, Software Defined Network, Comparison between SDN and traditional networks, SDN controller, Switch design, SDN Controller, Switch Protocols, Open Flow Protocol, Control Overhead Handoff algorithms Network Function Virtualization, NFV Architecture, Use cases, NFV Orchestration and NFV for 5G"
BMS College of Engineering,Computer Vision and Image,"Decentralized Applications DApps, What Is a DApp, A Basic DApp Example, Further Decentralizing the Auction DApp, Storing the Auction DApp on Swarm, The Ethereum Name Service ENS, From App to DApp, Hyperledger, Architecture, Projects under Hyperledger, Hyperledger Fabric, Hyperledger Sawtooth Tokenization, Tokenization on a blockchain, Types of tokens, Process of Tokenization, Token offerings, Image representation, Image digitization, Digital image properties, Color images Image pre, processing, Pixel brightness transformations, Geometric transformations, local pre, Segmentation, Thresholding, based segmentation, Region based segmentation, Matching, Image understanding, Image understanding control strategies, RANSAC, Point distribution models, Active appearance models, Pattern recognition methods in image understanding, Boosted cascade of classifiers, Image understanding using random forests, Scene labelling and constraint propagation, Semantic image segmentation and understanding, Hidden Markov models, Gaussian mixture models and expectation maximization, Basics of projective geometry, A single perspective camera, Scene reconstruction from multiple views"
BMS College of Engineering,Advanced Data Structures,"Image data compression and motion analysis, Image data properties, Discrete image transforms in image data compression, Predictive compression methods, Vector quantization, Hierarchical and progressive compression methods, Comparison of compression methods, JPEG and MPEG image compression, Statistical Texture description, Syntactic texture description methods, Hybrid texture description methods, Differential motion analysis methods, Optical Flow, Analysis based on correspondence of interest points, Detection of specific motion patterns, video tracking, motion models to aid tracking, Shape representation and morphology, Region identification, Contourbased shape representation and description, Region based shape representation and description, Shape classes, Morphology concepts and principles, Binary dilation and erosion, scale dilation and erosion, Skeletons and object marking, Granulometry, Morphology segmentation and watersheds, Disjoint Sets, Basic Data Structure, Smart Union algorithms, Path Compression, Time Complexity for Union, Applications Advanced Lists, Generic Linked List, Memory efficient doubly linked list, XOR Linked List, Skip List, Organizing List, Unrolled LinkedList, Balancing Trees, AVL Trees, Construction, Insertion, Rotation, Deletion, 3 Trees, Insertion and Deletion, Black Trees, Splay Trees, Scape Goat Tree"
BMS College of Engineering,Cryptography,"Uncertain Knowledge and Reasoning, Quantifying Uncertainty, Acting under Uncertainty, Basic Probability Notation, Inference using Full Joint Distributions, Independence, Baye s Rule and its use Probabilistic Reasoning, Representing Knowledge in an Uncertain Domain, Semantics of Bayesian Networks and example, Security Goals, Cryptographic Attacks, Service Mechanisms, Techniques Mathematics of Cryptography, Integer Arithmetic, Modular Arithmetic, Linear Congruence, Traditional symmetric, Key Ciphers, Substitution Ciphers, Transposition Ciphers Mathematics of Symmetric, key cryptography, Algebraic Structures, GF 2n Fields, Modern Block Ciphers, Modern Stream Ciphers Data Encryption Standard DES, DES Structure, DES Analysis, Multiple DES Advanced Encryption Standard AES, Transformations, Key Expansion, AES Ciphers"
BMS College of Engineering,Data Structures using C,"Mathematics of Asymmetric, Key Cryptography, Primes, Primality Testing, Chinese Remainder Theorem, Quadratic Congruence, Asymmetric, RSA cryptosystem, ElGamal Cryptosystem Cryptographic hash functions, RSA digital signature, Diffie, Hellman Key Agreement, Data types, Primitive and Non, Primitive, Types of Data Structures, Linear and Non, Linear Data Structures Stacks, Operations, Array representations of Stacks, Stack Applications, Infix to Postfix conversion, Postfix expression evaluation, Recursion, examplesFactorial, Fibonacci generation, Queues, Linear Queue, Circular Queue, Priority Queue, Double Ended Queue, Applications of Queue Dynamic Memory Allocation, Malloc, Calloc, Realloc, Linked List, Singly linked list, Insertion, Deletion and Searching, Circularly linked lists, Doubly linked list, Applications of linked lists, Linked Implementation of Stacks, Linked Implementation of Queue"
BMS College of Engineering,Network Programming,"Definitions, Properties of trees, Binary tree, Binary tree representation, Binary tree traversals, Binary tree implementation, Binary Search Tree operations and its implementation, Applications of trees, Tree Traversals, Depth First Search traversal, examples, Breadth First Search traversal, examples Hashing, Hash functions, Collision resolution techniques, Separate chaining, Open addressing, Linear probing, Quadratic probing, Double hashing, Rehashing, OSI model, Unix standards, TCP connection establishment and Termination, SCTP Connection establishment and termination, Port Numbers, Buffer sizes and limitations Sockets, Address structures, result arguments, TCP client server, TCP Echo server, TCP Echo Client, Normal startup and Termination, Crashing and Rebooting of server host, Shutdown of server host Socket options, getsockopt and setsockopt functions Socket states, Generic socket options, IPV4 socket options, IPV6 socket options and TCP socket options, SCTP socket options, fcntl function"
BMS College of Engineering,Software Architecture,"Elementary UDP sockets, UDP Echo server, UDP Echo Client, Verifying received response, summary of UDP example, Lack of flow control with UDP, determining outgoing interface with UDP Advanced I O Functions, Socket Timeouts, recv and send Functions, readv and writev Functions, recvmsg and sendmsg Functions, Queuing of Data, Sockets and Standard I O, TCP for Transactions, Streams, getmsg and putmsg functions, getpmsg and putpmsg functions, ioctl functions, Transport provider interface Broadcasting, Broadcast Addresses, Unicast versus Broadcast, dg cli Function Using Broadcasting, Race Conditions, Multicasting, Multicast Addresses, Multicasting versus Broadcasting on A LAN, Multicasting on a WAN, Multicast Socket Options, mcast join and Related Functions, dg cli Function Using Multicasting, Receiving IP Multicast Infrastructure Session Announcements, Sending and Receiving, Simple Network Time Protocol"
BMS College of Engineering,Soft Computing,"Documenting Software Architecture, Uses and Audiences for Architecture Documentation, Notations for Architecture Documentation, Choosing the Views, Combining Views Building the Documentation Package, Architecture and Implementation, Architecture and Testing Architecture Evaluation, Evaluation Factors, The Architecture Trade, off Analysis Method, Lightweight Architecture Evaluation, Decision, Making Context, The Basis for the Economic Analyses, Putting Theory into Practice, The CBAM, The NASA ECS Project Architecture and Software Product Lines, An Example of Product Line Variability, working of a Software Product Line, Product Line Scope, The Quality Attribute of Variability, The Role of a Product Line Architecture, Variation Mechanisms, Evaluating a Product Line Architecture"
BMS College of Engineering,Natural Language Processing,"soft computing vs hard computing, various types of soft computing techniques, and applications of soft computing Basic tools of soft computing, Fuzzy logic, neural network, evolutionary computing Introduction, Neural networks, application scope of neural networks, fuzzy logic, genetic algorithm, and hybrid systems, Fuzzy Sets and Logic, Fuzzy sets and Crisp sets, Fuzzy set theory and operations, Properties of fuzzy sets, Fuzzy and Crisp relations, Fuzzy to Crisp conversion Membership functions, interference in fuzzy logic, fuzzy if, then rules, Fuzzy implications and Fuzzy algorithms, Fuzzyfications and Defuzzifications, Evolutionary Computing, Basic Evolutionary Processes, A Simple Evolutionary System, Evolutionary Systems as Problem Solvers, A Historical Perspective, Canonical Evolutionary Algorithms, Evolutionary Programming, Evolution Strategies, A Unified View of Simple EAs, A Common Framework, Population Size, Hybrid Soft Computing Techniques, Neuro Fuzzy Hybrid Systems, Comparison of Fuzzy Systems with Neural Networks, Characteristics of Neuro, Fuzzy Hybrids, Classification of Neuro Fuzzy Hybrid Systems, Genetic Neuro, Hybrid Systems, Properties of Genetic Neuro Hybrid Systems, Neuro Fuzzy Modeling, Adaptive Neuro Fuzzy Inference Systems, ANFIS Architecture, Hybrid Learning Algorithm, Learning Methods that cross fertilize ANFIS and RBFN, ANFIS as a Universal Approximator Co, active Neuro Fuzzy Modeling, Towards Generalized ANFIS, Framework, Neuron Functions for Adaptive networks, Neuro Fuzzy Spectrum"
