College Name,Subject,Topics Covered
NIT TIRUCHIRAPPALLI,MOBILE COMPUTING,"Wireless Networks, Applications, History, Simplified Reference Model, Wireless Transmission, Frequencies, Signals, Antennas, Signal Propagation, Multiplexing, Modulation, Spread Spectrum"
NIT TIRUCHIRAPPALLI,INTERNETWORKING PROTOCOLS,"Network Topology, Reference Models, Topology And Switching, Token Bus, Token, Connecting Devices, Ipv4, Ipv4 Headers, Ip Forwarding, Dhcp And Auto-Configuration, Firewalls, Icmpv4"
NIT TIRUCHIRAPPALLI,DESIGN AND ANALYSIS OF PARALLEL ALGORITHMS,"Parallel Computers, Parallel Processing, Sm-Simd Algorithms, Shared Memory Simd, Computers, Classifying Mimd Algorithms, Lmcc, Hypercube, Cube Connected Cycle, Butterfly, Perfect Shuffle Computers, Tree Model"
NIT TIRUCHIRAPPALLI,ADVANCED CRYPTOGRAPHY,"Number, Group, Quadratic Residues, Legendre Symbol, Jacobi Symbol, Probability, Discrete Random Variable, Continuous Random Variable, Markov‟S Inequality, Chebyshev‟S Inequality, Normal Distribution, Symmetric Cryptosystem"
NIT TIRUCHIRAPPALLI,DEEP LEARNING TECHNIQUES,"Deep Networks, Deep Feedforward Networks, Learning Xor, Gradient Based Learning, Hidden Units, Back-Propagation, Ther Differential Algorithms, Convolutional Networks, Convolution Operation, Motivation, Pooling, Efficient Convolution"
NIT TIRUCHIRAPPALLI,NATURAL LANGUAGE PROCESSING,"Lexical Analysis, Morphology, Morphology Paradigms, Transducers Based Morphology, Automatic Morphology Learning, Parts Of Speech, N-Gram Models, Hidden, Markov Models, Speech Processing, Word Boundary Detection, Argmax Based"
NIT TIRUCHIRAPPALLI,IMAGE PROCESSING AND APPLICATIONS,"Digital Image Processing, Digital Image, Color Models, Basic Geometric Transformations, Fourier Transform, Hadamard-Haar-Slant Transform, Discrete Fourier Transform, Image Enhancement Techniques, Spatial Domain Methods, Histogram Processing, Image Subtraction, Image"
NIT TIRUCHIRAPPALLI,NETWORK SECURITY,"Network, Network Security, Security Services, Attacks, Sniffing, Spoofing, Buffer Overflow, Arp Poisoning, Icmp Exploits, Ip Address Spoofing, Ip Fragment Attack, Routing Exploits"
NIT TIRUCHIRAPPALLI,WIRELESS NETWORK SYSTEMS,"Wireless Communications Systems, Examples, Comparisons And Trends, Cellular Systems, Dropped Call Rates, & Their Evaluation, Fdma, Tdma, Fhma/ Cdma/, Hybrid Techniques, Sdma Techniques, Wireless Wan"
NIT TIRUCHIRAPPALLI,PARALLEL ARCHITECTURES AND PROGRAMMING,"Parallelism, Forms Of Parallelism, Sisd, Simd, Misd, Mimd, Moore'S Law, Multi-Cores, Parallel Computers, Communication Architecture, Message Passing Architecture, Data Parallel Architecture"
