College Name,Subject,Topics Covered,College,Subject Code,Subject Name,Cluster
Amity University,MICROPROCESSOR,"To Microcomputer Systems, Of 8 Bit, Pin Configuration, Internal Architecture, Interrupts, Stacks And Subroutines, Various Data Transfer, Alp And Timing, Advance 8085 Programming, Addressing Modes, Counters And Time, Instruction Cycle",AMITY_FINAL_STRUCTURED,,,1
Amity University,SYSTEM PROGRAMMING AND COMPILER CONSTRUCTION,"Phases, Fsm & Re‟S, Implementation Of Lexical, The Syntactic Specification, Derivation And Parse, Capabilities Of Cfg, System Programming Editors:, Full Screen Editor, First Pass, Assemblers For Cisc, Bootstrapping For Compilers, Design Of A",AMITY_FINAL_STRUCTURED,,,1
Amity University,ADVANCED JAVA PROGRAMMING,"V: Jsp Programming, Jsp Implicit Objects, Jsp Based Applications, Java, Net, Login & Logout, Jdbc With Jsp, Jee Web Appliaction, Struts Tags, Creating Beans, Other Bean Tags, Bean Output",AMITY_FINAL_STRUCTURED,,,1
Amity University,VLSI DESIGN,"Devices And, Dynamic And Transient, Spice Diode Model, Mosfet Static Behaviour:, Channel Length Modulation, Velocity Saturation, Sub Threshold Conduction, Model For Manual, Equivalent Resistance, Comparison Of Equations, Depletion And Enhancement, Junction Capacitance",AMITY_FINAL_STRUCTURED,,,2
Amity University,VLSI DESIGN LAB,"To Data Warehousing, The Need, Operational And Informational, Difference Between Data, Benefits Of Data, Data Mart, Meta Data, Conceptual Modeling, Snowflake, Fact Constellations, Data Warehousing Components, Components Of Data",AMITY_FINAL_STRUCTURED,,,4
Amity University,COMPUTER GRAPHICS,"To Graphics, Video Display Devices, Raster Scan Display, Random Scan Display, Input Devices, Graphic Software, Numerical Based On, Frame Buffer, Display Processor, Output Primitives, Circles (Bresenham„S, Antialiasing And Filtering",AMITY_FINAL_STRUCTURED,,,2
Amity University,ADVANCED COMPUTER ARCHITECTURE,"Parallel Computer Models, Multiprocessors And Multicomputers, Multivector And Simd, Architectural Development Tracks, Data And Resource, Hardware And Software, Program, Tioning And Scheduling, Grain Size, Program Flow Mechanisms, Control Flow Versus, Data Flow Architecture",AMITY_FINAL_STRUCTURED,,,1
Amity University,SOFT COMPUTING,"Soft Computing, Soft Computing Vs, Hard Computing, Various Types, Applications Of Soft, Neural Network Structure, Artificial Neuron, Definition Of Ann, Taxonomy Of Neural, Difference Between Ann, Characteristics And Applications, Single Layer Network",AMITY_FINAL_STRUCTURED,,,2
Amity University,MOBILE COMPUTING,"To Personal Communications, Mobility Management, Networks Signaling, Global System, Network Signaling, General Packet Radio, Gprs Network Nodes, Mobile Data Communication:, Standard, Mobile Ip, Wireless Application Protocol, Wap Gateway",AMITY_FINAL_STRUCTURED,,,3
Amity University,GRID COMPUTING,"Introduction-Cluster To Grid, Grid Models, Mobile Grid Models, Applications, Parset: System Independent, Semantics Of, Expressing Parallelism Through, Implementing Parsets On, Anonymous Remote Computing, Issues In Parallel, Existing Distributed Programming, The Arc Model",AMITY_FINAL_STRUCTURED,,,2
Amity University,DIGITAL IMAGE PROCESSING,"And Digital Image, Examples Of Fields, Steps In Image, Elements Of Digital, Image Sampling, Some Relationships Like, Connectivity, Distance Measures Between, Linear And Non, Image Enhancement In, Histogram Processing, Enhancement Using Arithmetic",AMITY_FINAL_STRUCTURED,,,1
Amity University,DOT NET PROGRAMMING,"Net Technologies, Net, Net Framework, Clr, What Is Asp, Net? Difference Between, Design View, Html View, Default Files Used, Of Master Pages, Intrinsic Objects, Structure Of Asp",AMITY_FINAL_STRUCTURED,,,2
Amity University,DOT NET PROGRAMMING LAB,"Linear Programming Linear, Graphical Solution, Standard And Matrix, Simplex Method, Two-Phase Simplex Method, Integer Programming Integer, Need And Importance, Gomory‟S All Integer, Modeling & Simulation, What Is A, Type Of Models, Continuous Vs",AMITY_FINAL_STRUCTURED,,,0
Anna University - Chennai (Reg 2021),HS3152 - PROFESSIONAL ENGLISH I L T P C,"Present Tense, Question types, Wh/ Yes or No/ and Tags. Vocabulary, Synonyms, One word substitution, Abbreviations & Acronyms . NARRATION AND SUMMATION Reading, travelogues, newspaper reports, Excerpts from literature, and travel & technical blogs. Writing, Guided writing, Paragraph writing Short Report on an event Grammar, Past tense, Subject, Verb Agreement, and Prepositions. Vocabulary, Word forms, Synonyms and Antonyms. Phrasal verbs. DESCRIPTION OF A PROCESS / PRODUCT Reading, gadget reviews, user manuals. Writing, instructions, and Product /Process description. Grammar, Imperatives, Adjectives, Degrees of comparison, Present & Past Perfect Tenses. Vocabulary, Compound Nouns, Homonyms, and Homophones, discourse markers . CLASSIFICATION AND RECOMMENDATIONS Reading, Newspaper articles, Journal reports, and Non Verbal Communcation . Writing, Note, taking, Transferring information from non verbal Grammar, Articles, Pronouns, Possessive & Relative pronouns. Vocabulary, Collocations, Fixed / Semi fixed expressions. EXPRESSION Reading, and Opinion Blogs, Essay Writing . Grammar, Future Tenses, Punctuation, Negation, and Simple, Compound & Complex Sentences. Vocabulary, Cause & Effect Expressions, Content vs Function words.",Anna_University_Pure_Topics_Final,,,2
Anna University - Chennai (Reg 2021),MA3151 - MATRICES AND CALCULUS L T P C,"MATRICES 9 + Eigenvalues and Eigenvectors of a real matrix, Characteristic equation, Properties of Eigenvalues and Eigenvectors, Cayley, Hamilton theorem, Diagonalization of matrices by orthogonal transformation, Reduction of a quadratic form to canonical form by orthogonal transformation, Nature of quadratic forms, Applications, Stretching of an elastic membrane. DIFFERENTIAL CALCULUS 9 + Representation of functions, Limit of a function, Continuity, Derivatives, Differentiation rules, Implicit differentiation, Logarithmic differentiation, Homogeneous functions and Euler’s theorem",Anna_University_Pure_Topics_Final,,,0
Anna University - Chennai (Reg 2021),PH3151 - ENGINEERING PHYSICS L T P C,"MECHANICS Multi, particle dynamics, Center of mass, CM of continuous bodies, motion of the CM, kinetic energy of the system of particles. Rotation of rigid bodies, Rotational kinematics, rotational kinetic energy and moment of inertia, theorems of M .I, moment of inertia of continuous bodies, M.I of a diatomic molecule, torque, rotational dynamics of rigid bodies, conservation of angular momentum, rotational energy state of a rigid diatomic molecule, gyroscope, torsional pendulum, double pendulum, wave equation, Plane electromagnetic waves in vacuum, Conditions on the wave field, properties of electromagnetic waves, speed, amplitude, phase, orientation and waves in matter, polarization, Producing electromagnetic waves, Energy and momentum in EM waves, Intensity, waves from localized sources, momentum and radiation pressure, Cell, phone reception. Reflection and transmission of electromagnetic waves from a non, conducting medium, vacuum interface for normal incidence. OSCILLATIONS, OPTICS AND LASERS Simple harmonic motion, resonance, analogy between electrical and mechanical oscillating systems, waves on a string, standing waves, traveling waves, Energy transfer of a wave, sound waves, Doppler effect. Reflection and refraction of light waves",Anna_University_Pure_Topics_Final,,,2
Anna University - Chennai (Reg 2021),CY3151 - ENGINEERING CHEMISTRY L T P C,"WATER AND ITS TREATMENT Water, Sources and impurities, Water quality parameters, color, odour, turbidity, hardness, alkalinity, COD and BOD, fluoride and arsenic. Municipal water treatment, primary treatment and disinfection . Desalination of brackish water, Reverse Osmosis. Boiler troubles, Scale and sludge, Boiler corrosion, Caustic embrittlement, Priming & foaming. Treatment of boiler feed water, Internal treatment and External treatment, Ion exchange demineralization and zeolite process. NANOCHEMISTRY Basics, Distinction between molecules, nanomaterials and bulk materials, Size, dependent properties, Types of nanomaterials, properties and uses of, nanoparticle, nanocluster, nanorod, nanowire and nanotube. Preparation of nanomaterials, solvothermal, laser ablation, chemical vapour deposition, electrochemical deposition and electro spinning. Applications of nanomaterials in medicine, agriculture, energy, electronics and catalysis. PHASE RULE AND COMPOSITES Phase rule, water system, Reduced phase rule, Construction of a simple eutectic phase diagram, Thermal analysis, Two component system, lead, silver system, Pattinson process. Composites, Constitution, Matrix materials and Reinforcement . Properties and applications of, Metal matrix composites, Ceramic matrix composites and Polymer matrix composites. Hybrid composites, Classification of fuels, Coal and coke, Analysis of coal, Carbonization, Manufacture of metallurgical coke . Petroleum and Diesel, Manufacture of synthetic petrol, Knocking, octane number, diesel oil, cetane number, Power alcohol and biodiesel. Combustion of fuels, Calorific value, higher and lower calorific values, Theoretical calculation of calorific value, Ignition temperature, spontaneous ignition temperature, Explosive range, Flue gas analysis, mass defect, binding energy, Nuclear energy, light water nuclear power plant, breeder reactor. Solar energy conversion, Principle, Recent developments in solar cell materials. Wind energy, Geothermal energy, Batteries, Types of batteries, Primary battery, dry cell, Secondary battery, lead acid battery and lithium, battery, Electric vehicles, Fuel cells, O fuel cell, microbial fuel cell, 2 Supercapacitors, Storage principle",Anna_University_Pure_Topics_Final,,,2
Anna University - Chennai (Reg 2021),GE3151 - PROBLEM SOLVING AND PYTHON PROGRAMMING L T P C,"COMPUTATIONAL THINKING AND PROBLEM SOLVING Fundamentals of Computing, Identification of Computational Problems, Algorithms, building blocks of algorithms, notation, algorithmic problem solving, simple strategies for developing algorithms . Illustrative problems, find minimum in a list, insert a card in a list of sorted cards, guess an integer number in a range, Towers of Hanoi. DATA TYPES, EXPRESSIONS, STATEMENTS Python interpreter and interactive mode, debugging, values and types, float, boolean, string, and list, variables, expressions, statements, tuple assignment, precedence of operators, comments, Illustrative programs, exchange the values of two variables, circulate the values of n variables, distance between two points. CONTROL FLOW, FUNCTIONS, STRINGS Conditionals, Boolean values and operators, conditional, alternative, chained conditional, Iteration, state, while, break, continue, pass, Fruitful functions, return values, parameters, local and global scope, function composition, recursion, Strings, string slices, immutability, string functions and methods, string module, Lists as arrays. Illustrative programs, square root, exponentiation, sum an array of numbers, linear search, binary search. LISTS, TUPLES, DICTIONARIES Lists, list operations, list slices, list methods, list loop, mutability, aliasing, cloning lists, list parameters, Tuples, tuple as return value, Dictionaries, operations and methods, advanced list processing, list comprehension, simple sorting, histogram, Students marks statement, Retail bill preparation. FILES, MODULES, PACKAGES Files and exceptions, text files, format operator, command line arguments, errors and exceptions, handling exceptions, modules, packages, word count, copy file, Voter’s age validation, Marks range validation .",Anna_University_Pure_Topics_Final,,,1
Anna University - Chennai (Reg 2021),GE3152 - HERITAGE OF TAMILS L T P C,"LANGUAGE AND LITERATURE Language Families in India, Dravidian Languages, Tamil as a Classical Language, Classical Literature in Tamil, Secular Nature of Sangam Literature, Distributive Justice in Sangam Literature, Management Principles in Thirukural, Tamil Epics and Impact of Buddhism & Jainism in Tamil Land, Bakthi Literature Azhwars and Nayanmars, Forms of minor Poetry, Development of Modern literature in Tamil, Contribution of Bharathiyar and Bharathidhasan. HERITAGE, ROCK ART PAINTINGS TO MODERN ART, SCULPTURE Hero stone to modern sculpture, Bronze icons, Tribes and their handicrafts, Art of temple car making, Massive Terracotta sculptures, Village deities, Thiruvalluvar Statue at Kanyakumari, Mridhangam, Parai, Veenai, Yazh and Nadhaswaram, Karagattam, Villu Pattu, Kaniyan Koothu, Oyillattam, Leather puppetry, Silambattam, Valari, Tiger dance, Aram Concept of Tamils, Education and Literacy during Sangam Age, Ancient Cities and Ports of Sangam Age, Export and Import during Sangam Age, The Cultural Influence of Tamils over the other parts of India, Self, Respect Movement, Role of Siddha Medicine in Indigenous Systems of Medicine, Inscriptions & Manuscripts, Print History of Tamil Books.",Anna_University_Pure_Topics_Final,,,2
Anna University - Chennai (Reg 2021),GE3172 - ENGLISH LABORATORY L T P C,"specific details, conversation, Audio / video, Telephone conversation, Listening to voicemail & messages, Listening and filling a form. Speaking, Self Introduction, Introducing a friend, politeness strategies, replying to polite requests and offers, understanding basic instructions. NARRATION AND SUMMATION Listening, Listening to podcasts, anecdotes / stories / event narration, documentaries and interviews with celebrities. Speaking, Narrating personal experiences / events, Talking about current and temporary situations & permanent and regular situations*, describing experiences and feelings, engaging in small talk, describing requirements and abilities. DESCRIPTION OF A PROCESS / PRODUCT Listening, Listen to product and process descriptions, a classroom lecture, and advertisements about products. Speaking, Picture description, describing locations in workplaces, Giving instruction to use the product, explaining uses and purposes, Presenting a product, describing shapes and sizes and weights, talking about quantities, talking about precautions. CLASSIFICATION AND RECOMMENDATIONS Listening, Listening to TED Talks, Listening to lectures, and educational videos. Speaking, Small Talk, discussing and making plans, talking about tasks, talking about progress, talking about positions and directions of movement, talking about travel preparations, talking about transportation, EXPRESSION Listening, Listening to debates/ discussions, different viewpoints on an issue, and panel discussions. Speaking, talking about a given topic, giving opinions, understanding a website, describing processes",Anna_University_Pure_Topics_Final,,,2
Anna University - Chennai (Reg 2021),HS3252 - PROFESSIONAL ENGLISH - II L T P C,"user manuals, brochures, Professional emails, Email etiquette, Compare and Contrast Essay, Grammar, Mixed Tenses, Prepositional phrases EXPRESSING CAUSAL RELATIONS IN SPEAKING AND WRITING Reading, Cause and Effect Essays, and Letters / emails of complaint, Active Passive Voice transformations, Infinitive and Gerunds PROBLEM SOLVING Reading, Case Studies, excerpts from literary texts, news reports etc. Writing, Letter to the Editor, Checklists, Problem solution essay / Argumentative Essay. Grammar, Error correction, If conditional sentences REPORTING OF EVENTS AND RESEARCH Reading, Newspaper articles, Recommendations, Transcoding, Accident Report, Survey Report Grammar, Reported Speech, Modals Vocabulary, Conjunctions, use of prepositions THE ABILITY TO PUT IDEAS OR INFORMATION COGENTLY Reading, Company profiles, Statement of Purpose, an excerpt of interview with professionals, Job / Internship application, Cover letter & Resume, Numerical adjectives, Relative Clauses.",Anna_University_Pure_Topics_Final,,,2
Anna University - Chennai (Reg 2021),MA3251 - STATISTICS AND NUMERICAL METHODS L T P C,"TESTING OF HYPOTHESIS 9 + Sampling distributions, Tests for single mean, proportion and difference of means, Tests for single variance and equality of variances, Chi square test for goodness of fit, Completely randomized design, Randomized block design, Latin square design, Fixed point iteration method, Newton Raphson method, Solution of linear system of equations, Gauss elimination method, Pivoting, Gauss Jordan method, Iterative methods of Gauss Jacobi and Gauss Seidel, NUMERICAL DIFFERENTIATION AND NUMERICAL INTEGRATION Lagrange’s and Newton’s divided difference interpolations, Newton’s forward and backward difference interpolation, Approximation of derivates using interpolation polynomials, Taylor’s series method, Euler’s method, Modified Euler’s method, Fourth order Runge, Kutta method for solving first order differential equations, Multi step methods, Milne’s and Adams, Bash forth predictor corrector methods for solving first order differential equations.",Anna_University_Pure_Topics_Final,,,0
